2026-05-11 10:54:01.785 [Test worker] INFO  p.g.m.r.MsaServiceRecaudacionIntegrationTest - Starting MsaServiceRecaudacionIntegrationTest using Java 25.0.2 with PID 21516 (started by USER in D:\Proyecto\MEF\03-dev\_msa-arquetipo-Inter-SUNAT\msa-service-recaudacion)
2026-05-11 10:54:01.792 [Test worker] INFO  p.g.m.r.MsaServiceRecaudacionIntegrationTest - No active profile set, falling back to 1 default profile: "default"
2026-05-11 10:54:04.302 [Test worker] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat initialized with port 0 (http)
2026-05-11 10:54:04.323 [Test worker] INFO  o.a.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-auto-1"]
2026-05-11 10:54:04.327 [Test worker] INFO  o.a.catalina.core.StandardService - Starting service [Tomcat]
2026-05-11 10:54:04.327 [Test worker] INFO  o.a.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/11.0.14]
2026-05-11 10:54:04.428 [Test worker] INFO  o.s.b.w.c.s.WebApplicationContextInitializer - Root WebApplicationContext: initialization completed in 2573 ms
2026-05-11 10:54:05.919 [Test worker] INFO  o.s.v.b.OptionalValidatorFactoryBean - Failed to set up a Bean Validation provider: jakarta.validation.NoProviderFoundException: Unable to create a Configuration, because no Jakarta Validation provider could be found. Add a provider like Hibernate Validator (RI) to your classpath.
2026-05-11 10:54:06.333 [Test worker] INFO  o.a.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-auto-1"]
2026-05-11 10:54:06.367 [Test worker] INFO  o.s.boot.tomcat.TomcatWebServer - Tomcat started on port 63947 (http) with context path '/'
2026-05-11 10:54:06.381 [Test worker] INFO  p.g.m.r.MsaServiceRecaudacionIntegrationTest - Started MsaServiceRecaudacionIntegrationTest in 5.433 seconds (process running for 7.881)
2026-05-11 10:54:07.579 [http-nio-auto-1-exec-3] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - Initializing Spring DispatcherServlet 'dispatcherServlet'
